season,opponent,result,pace,ppp,efg,to,or,ft,pmp,tmp,tmpa,fpa,fpt,tft,oppp,oefg,oto,oor,oft,opmp,otmp,otmpa,ofpa,ofpt,otft,label,type,blind
2016-17,Duke,L,74,1.12,44.2,13.5,44.9,23.1,48.2,22.7,28.2,14,18,77.8,1.26,60,14.8,19.2,74,45.5,58.8,34,33,37,89.2,Duke L 83-93 (2016-17),ACC Tournament,lightpink
2016-17,Miami,W,64,1.22,59.4,17.2,33.3,34,58.3,41.2,32.1,15,18,83.3,0.83,40.6,23.4,28.9,30.2,43.8,23.8,39.6,10,16,62.5,Miami W 78-53 (2016-17),ACC Tournament,lightgreen
2016-17,Duke,W,72,1.25,55.2,12.4,34.3,31.3,56,35.3,25.4,16,21,76.2,1.15,50.9,11.1,25.8,64.8,48.6,36.8,35.2,28,35,80,Duke W 90-83 (2016-17),League,lightgreen
2016-17,UVA,L,55,0.79,39.6,25.7,31.2,14.6,40.6,25,33.3,5,7,71.4,0.97,40.7,7.3,31.7,13.6,25.7,41.7,40.7,5,8,62.5,UVA L 43-53 (2016-17),League,lightpink
2016-17,Pittsburgh,W,65,1.31,52,12.4,55.8,20.6,46.9,41.7,32.9,9,15,60,1.04,46.9,18.6,27.3,62.5,50,29.2,50,22,30,73.3,Pittsburgh W 85-67 (2016-17),League,lightgreen
2016-17,Louisville,W,73,1.01,42.7,16.3,39,46.8,36.4,38.9,29,21,29,72.4,0.86,48.4,21.8,21.1,21.3,53.7,25,32.8,4,13,30.8,Louisville W 74-63 (2016-17),League,lightgreen
2016-17,UVA,W,61,1.07,52.6,14.9,32.3,12.1,51.3,36.8,32.8,4,7,57.1,0.68,29.6,9.9,12.8,22.2,38.2,10,37,9,12,75,UVA W 65-41 (2016-17),League,lightgreen
2016-17,NC State,W,72,1.36,60.7,15.4,52.9,10.7,67.3,30.4,30.7,6,8,75,1.02,51.9,23.7,28.1,46.1,53.6,33.3,46.2,19,24,79.2,NC State W 97-73 (2016-17),League,lightgreen
2016-17,Duke,L,68,1.15,55.7,7.4,22.6,29.5,57.1,33.3,19.7,10,18,55.6,1.27,64,14.8,23.3,28.1,56.7,48.1,47.4,13,16,81.3,Duke L 78-86 (2016-17),League,lightpink
2016-17,Notre Dame,W,68,1.22,54.1,16.2,48.6,45.9,54.5,35.3,27.9,17,28,60.7,1.12,52.7,13.2,20.6,35.7,53.3,34.6,46.4,17,20,85,Notre Dame W 83-76 (2016-17),League,lightgreen
