season,opponent,result,oefg,opm,opa,opmp,otpm,otpa,otmp,otmpa,ofpa,ofpt,otft
2016-17,Louisville,W,48.4,22,41,53.7,5,20,25,32.8,4,13,30.8
2016-17,UVA,W,29.6,13,34,38.2,2,20,10,37,9,12,75
2016-17,NC State,W,51.9,15,28,53.6,8,24,33.3,46.2,19,24,79.2
2016-17,Duke,L,64,17,30,56.7,13,27,48.1,47.4,13,16,81.3
2016-17,Notre Dame,W,52.7,16,30,53.3,9,26,34.6,46.4,17,20,85
2016-17,Pittsburgh,W,67.6,17,25,68,13,29,44.8,53.7,5,5,100
2016-17,Miami,L,47.3,16,36,44.4,7,20,35,35.7,24,30,80
2016-17,Virginia Tech,W,59.8,17,26,65.4,9,25,36,49,11,18,61.1
2016-17,Boston College,W,55.9,20,41,48.8,12,27,44.4,39.7,6,7,85.7
2016-17,Syracuse,W,52.5,16,35,45.7,10,24,41.7,40.7,6,7,85.7
2016-17,Florida State,W,53,22,39,56.4,9,28,32.1,41.8,12,26,46.2
2016-17,Wake Forest,W,51.5,17,38,44.7,11,27,40.7,41.5,20,28,71.4
2016-17,NC State,W,42.1,16,40,40,7,23,30.4,36.5,3,11,27.3
