season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2015-16,27-Mar-16,Notre Dame,neutral,NCAA Tournament,NCAA Tournament Elite 8,W,88,74,,https:///dadgumboxscores.com/boxes/2016/unc-88-nd-74
2015-16,25-Mar-16,Indiana,neutral,NCAA Tournament,NCAA Tournament Sweet 16,W,101,86,,https:///dadgumboxscores.com/boxes/2016/unc-101-iu-86
2015-16,19-Mar-16,Providence,neutral,NCAA Tournament,NCAA Tournament 2nd Round,W,85,66,,https:///dadgumboxscores.com/boxes/2016/unc-85-providence-66
2015-16,17-Mar-16,Florida Gulf-Coast,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,83,67,,https:///dadgumboxscores.com/boxes/2016/unc-83-fgcu-67
2015-16,12-Mar-16,UVA,neutral,ACC Tournament,ACC Tournament Championship,W,61,57,,https:///dadgumboxscores.com/boxes/2016/unc-61-uva-57
2015-16,11-Mar-16,Notre Dame,neutral,ACC Tournament,ACC Tournament Semifinal,W,78,47,,https:///dadgumboxscores.com/boxes/2016/unc-78-nd-47
2015-16,10-Mar-16,Pittsburgh,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,88,71,,https:///dadgumboxscores.com/boxes/2016/unc-88-pitt-71
2015-16,5-Mar-16,Duke,away,League,League,W,76,72,,https:///dadgumboxscores.com/boxes/2016/unc-76-duke-72
2015-16,29-Feb-16,Syracuse,home,League,League,W,75,70,,https:///dadgumboxscores.com/boxes/2016/unc-75-cuse-70
2015-16,27-Feb-16,UVA,away,League,League,L,74,79,,https:///dadgumboxscores.com/boxes/2016/uva-79-unc-74
2015-16,24-Feb-16,NC State,away,League,League,W,80,68,,https:///dadgumboxscores.com/boxes/2016/unc-80-state-68
2015-16,20-Feb-16,Miami,home,League,League,W,96,71,,https:///dadgumboxscores.com/boxes/2016/unc-96-miami-71
2015-16,17-Feb-16,Duke,home,League,League,L,73,74,,https:///dadgumboxscores.com/boxes/2016/duke-74-unc-73
2015-16,14-Feb-16,Pittsburgh,home,League,League,W,85,64,,https:///dadgumboxscores.com/boxes/2016/unc-85-pitt-64
2015-16,9-Feb-16,Boston College,away,League,League,W,68,65,,https:///dadgumboxscores.com/boxes/2016/unc-68-bc-65
2015-16,6-Feb-16,Notre Dame,away,League,League,L,76,80,,https:///dadgumboxscores.com/boxes/2016/nd-80-unc-76
2015-16,1-Feb-16,Louisville,away,League,League,L,65,71,,https:///dadgumboxscores.com/boxes/2016/lville-71-unc-65
2015-16,30-Jan-16,Boston College,home,League,League,W,89,62,,https:///dadgumboxscores.com/boxes/2016/unc-89-bc-62
